,StartDate,EndDate,Category,Start,Stop,Miles,Purpose,Year,Month,Day,StartHour,Time of Day,Time Difference,Total Hours,MoreThan1Hour,Time Difference (Minutes),month_name,DayName
0,2016-01-01 21:11:00,2016-01-01 21:17:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,2016,1,1,21,Night,0 days 00:06:00,0.1,False,6.0,January,Friday
1,2016-01-02 01:25:00,2016-01-02 01:37:00,Business,Fort Pierce,Fort Pierce,5.0,NA,2016,1,2,1,Night,0 days 00:12:00,0.2,False,12.0,January,Saturday
2,2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,2016,1,2,20,Night,0 days 00:13:00,0.22,False,13.0,January,Saturday
3,2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,Fort Pierce,4.7,Meeting,2016,1,5,17,Day,0 days 00:14:00,0.23,False,14.0,January,Tuesday
4,2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit,2016,1,6,14,Day,0 days 01:07:00,1.12,True,67.0,January,Wednesday
5,2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,2016,1,6,17,Day,0 days 00:04:00,0.07,False,4.0,January,Wednesday
6,2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,2016,1,6,17,Day,0 days 00:05:00,0.08,False,5.0,January,Wednesday
7,2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,Cary,0.8,Meeting,2016,1,7,13,Day,0 days 00:06:00,0.1,False,6.0,January,Thursday
8,2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,Morrisville,8.3,Meeting,2016,1,10,8,Day,0 days 00:20:00,0.33,False,20.0,January,Sunday
9,2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,New York,16.5,Customer Visit,2016,1,10,12,Day,0 days 00:27:00,0.45,False,27.0,January,Sunday
10,2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,Queens,10.8,Meeting,2016,1,10,15,Day,0 days 00:43:00,0.72,False,43.0,January,Sunday
11,2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,New York,7.5,Meeting,2016,1,10,18,Night,0 days 00:35:00,0.58,False,35.0,January,Sunday
12,2016-01-10 19:12:00,2016-01-10 19:32:00,Business,Midtown,East Harlem,6.2,Meeting,2016,1,10,19,Night,0 days 00:20:00,0.33,False,20.0,January,Sunday
13,2016-01-11 08:55:00,2016-01-11 09:21:00,Business,East Harlem,NoMad,6.4,Temporary Site,2016,1,11,8,Day,0 days 00:26:00,0.43,False,26.0,January,Monday
14,2016-01-11 11:56:00,2016-01-11 12:03:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,2016,1,11,11,Day,0 days 00:07:00,0.12,False,7.0,January,Monday
15,2016-01-11 13:32:00,2016-01-11 13:46:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,2016,1,11,13,Day,0 days 00:14:00,0.23,False,14.0,January,Monday
16,2016-01-11 14:30:00,2016-01-11 14:43:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,2016,1,11,14,Day,0 days 00:13:00,0.22,False,13.0,January,Monday
17,2016-01-12 12:33:00,2016-01-12 12:49:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,2016,1,12,12,Day,0 days 00:16:00,0.27,False,16.0,January,Tuesday
18,2016-01-12 12:53:00,2016-01-12 13:09:00,Business,Hudson Square,Lower Manhattan,4.0,Meal/Entertain,2016,1,12,12,Day,0 days 00:16:00,0.27,False,16.0,January,Tuesday
19,2016-01-12 14:42:00,2016-01-12 14:56:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,2016,1,12,14,Day,0 days 00:14:00,0.23,False,14.0,January,Tuesday
20,2016-01-12 15:13:00,2016-01-12 15:28:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,2016,1,12,15,Day,0 days 00:15:00,0.25,False,15.0,January,Tuesday
21,2016-01-12 15:42:00,2016-01-12 15:54:00,Business,Hell's Kitchen,Midtown,2.0,Errand/Supplies,2016,1,12,15,Day,0 days 00:12:00,0.2,False,12.0,January,Tuesday
22,2016-01-12 16:02:00,2016-01-12 17:00:00,Business,New York,Queens County,15.1,Meeting,2016,1,12,16,Day,0 days 00:58:00,0.97,False,58.0,January,Tuesday
23,2016-01-13 13:54:00,2016-01-13 14:07:00,Business,Downtown,Gulfton,11.2,Meeting,2016,1,13,13,Day,0 days 00:13:00,0.22,False,13.0,January,Wednesday
24,2016-01-13 15:00:00,2016-01-13 15:28:00,Business,Gulfton,Downtown,11.8,Meeting,2016,1,13,15,Day,0 days 00:28:00,0.47,False,28.0,January,Wednesday
25,2016-01-14 16:29:00,2016-01-14 17:05:00,Business,Houston,Houston,21.9,Customer Visit,2016,1,14,16,Day,0 days 00:36:00,0.6,False,36.0,January,Thursday
26,2016-01-14 21:39:00,2016-01-14 21:45:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,2016,1,14,21,Night,0 days 00:06:00,0.1,False,6.0,January,Thursday
27,2016-01-15 00:41:00,2016-01-15 01:01:00,Business,Morrisville,Cary,8.0,Errand/Supplies,2016,1,15,0,Night,0 days 00:20:00,0.33,False,20.0,January,Friday
28,2016-01-15 11:43:00,2016-01-15 12:03:00,Business,Cary,Durham,10.4,Meal/Entertain,2016,1,15,11,Day,0 days 00:20:00,0.33,False,20.0,January,Friday
29,2016-01-15 13:26:00,2016-01-15 13:44:00,Business,Durham,Cary,10.4,Meal/Entertain,2016,1,15,13,Day,0 days 00:18:00,0.3,False,18.0,January,Friday
30,2016-01-18 14:55:00,2016-01-18 15:06:00,Business,Cary,Cary,4.8,Meal/Entertain,2016,1,18,14,Day,0 days 00:11:00,0.18,False,11.0,January,Monday
31,2016-01-18 16:13:00,2016-01-18 16:24:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,2016,1,18,16,Day,0 days 00:11:00,0.18,False,11.0,January,Monday
32,2016-01-19 09:09:00,2016-01-19 09:23:00,Business,Whitebridge,Lake Wellingborough,7.2,NA,2016,1,19,9,Day,0 days 00:14:00,0.23,False,14.0,January,Tuesday
33,2016-01-19 10:55:00,2016-01-19 11:09:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,2016,1,19,10,Day,0 days 00:14:00,0.23,False,14.0,January,Tuesday
34,2016-01-20 10:36:00,2016-01-20 11:11:00,Business,Cary,Raleigh,17.1,Meeting,2016,1,20,10,Day,0 days 00:35:00,0.58,False,35.0,January,Wednesday
35,2016-01-20 11:48:00,2016-01-20 12:19:00,Business,Fayetteville Street,Umstead,15.1,Meeting,2016,1,20,11,Day,0 days 00:31:00,0.52,False,31.0,January,Wednesday
36,2016-01-20 13:25:00,2016-01-20 14:19:00,Business,Raleigh,Cary,40.2,Customer Visit,2016,1,20,13,Day,0 days 00:54:00,0.9,False,54.0,January,Wednesday
37,2016-01-21 14:25:00,2016-01-21 14:29:00,Business,Cary,Cary,1.6,Errand/Supplies,2016,1,21,14,Day,0 days 00:04:00,0.07,False,4.0,January,Thursday
38,2016-01-21 14:43:00,2016-01-21 14:51:00,Business,Cary,Cary,2.4,Meal/Entertain,2016,1,21,14,Day,0 days 00:08:00,0.13,False,8.0,January,Thursday
39,2016-01-21 16:01:00,2016-01-21 16:06:00,Business,Cary,Cary,1.0,Meal/Entertain,2016,1,21,16,Day,0 days 00:05:00,0.08,False,5.0,January,Thursday
40,2016-01-26 10:41:00,2016-01-26 10:50:00,Business,Whitebridge,Hazelwood,2.0,Meal/Entertain,2016,1,26,10,Day,0 days 00:09:00,0.15,False,9.0,January,Tuesday
41,2016-01-26 12:33:00,2016-01-26 12:41:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,2016,1,26,12,Day,0 days 00:08:00,0.13,False,8.0,January,Tuesday
42,2016-01-26 16:24:00,2016-01-26 16:32:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,2016,1,26,16,Day,0 days 00:08:00,0.13,False,8.0,January,Tuesday
43,2016-01-26 17:17:00,2016-01-26 17:22:00,Business,Cary,Cary,1.4,Errand/Supplies,2016,1,26,17,Day,0 days 00:05:00,0.08,False,5.0,January,Tuesday
44,2016-01-26 17:27:00,2016-01-26 17:29:00,Business,Cary,Cary,0.5,Errand/Supplies,2016,1,26,17,Day,0 days 00:02:00,0.03,False,2.0,January,Tuesday
45,2016-01-27 09:24:00,2016-01-27 09:31:00,Business,Cary,Cary,1.8,Meeting,2016,1,27,9,Day,0 days 00:07:00,0.12,False,7.0,January,Wednesday
46,2016-01-27 10:19:00,2016-01-27 10:48:00,Business,Cary,Raleigh,18.7,Customer Visit,2016,1,27,10,Day,0 days 00:29:00,0.48,False,29.0,January,Wednesday
47,2016-01-27 12:34:00,2016-01-27 12:44:00,Business,Fairmont,Meredith Townes,3.4,Customer Visit,2016,1,27,12,Day,0 days 00:10:00,0.17,False,10.0,January,Wednesday
48,2016-01-27 14:05:00,2016-01-27 14:13:00,Business,Raleigh,Raleigh,2.7,Customer Visit,2016,1,27,14,Day,0 days 00:08:00,0.13,False,8.0,January,Wednesday
49,2016-01-27 14:46:00,2016-01-27 15:08:00,Business,Raleigh,Cary,12.9,Customer Visit,2016,1,27,14,Day,0 days 00:22:00,0.37,False,22.0,January,Wednesday
50,2016-01-28 12:28:00,2016-01-28 13:00:00,Business,Cary,Raleigh,19.0,Temporary Site,2016,1,28,12,Day,0 days 00:32:00,0.53,False,32.0,January,Thursday
51,2016-01-28 15:11:00,2016-01-28 15:31:00,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,2016,1,28,15,Day,0 days 00:20:00,0.33,False,20.0,January,Thursday
52,2016-01-28 16:21:00,2016-01-28 16:51:00,Business,Raleigh,Cary,15.7,Meeting,2016,1,28,16,Day,0 days 00:30:00,0.5,False,30.0,January,Thursday
53,2016-01-29 09:31:00,2016-01-29 09:45:00,Business,Cary,Cary,4.6,Customer Visit,2016,1,29,9,Day,0 days 00:14:00,0.23,False,14.0,January,Friday
54,2016-01-29 10:56:00,2016-01-29 11:07:00,Business,Cary,Cary,5.2,Meeting,2016,1,29,10,Day,0 days 00:11:00,0.18,False,11.0,January,Friday
55,2016-01-29 11:43:00,2016-01-29 12:03:00,Business,Cary,Durham,10.4,Meeting,2016,1,29,11,Day,0 days 00:20:00,0.33,False,20.0,January,Friday
